customer_id,first_name,last_name,email,phone,registration_date,address
1,Dana,Johns,stacey37@example.net,772.936.9292x9842,2025-05-21,"  6210 Alexandra Parkways, Serranoville, HI 62874  "
2,Rachel,Greene,davisdonna@example.net,+1-506-986-5086,2025-10-18,"  916 Jonathan Trafficway Apt. 149, Scotttown, VT 97972  "
3,Kristine,Lane,meyernicholas@example.org,001-756-651-2694x486,2025-07-25,"8872 Hansen Orchard, Vanessashire, MI 92971"
4,Raymond,Taylor,adkinssean@example.net,(413)886-5890,2025-06-20,"79611 Walker Common, Lake Patrickfurt, RI 86507"
5,Abigail,Dawson,bautistalori@example.net,470.238.4309x8839,2024-11-18,"14656 Willis Path, Lake Janeland, OH 37790"
6,Jessica,Hansen,michael43@example.net,376.390.4268,2025-03-09,"489 Benson Lane, Carrillomouth, WI 60643"
7,Erin,Mosley,olsonjonathan@example.com,+1-833-756-5880x4341,2024-04-12,"5539 White Summit, South Jillian, IA 96895"
8,John,Baker,jameswright@example.net,(721)911-7908x075,2026-01-10,"Unit 9472 Box 8463, DPO AP 17310"
9,Brian,Lloyd,cayers@example.net,(362)771-8750x036,2024-11-19,"84347 Diaz Parks Suite 365, Melissaview, NV 24079"
10,Ashley,Krause,lisale@example.org,+1-866-932-2702,2024-05-27,"Unit 8857 Box 4489, DPO AE 52720"
11,Corey,Martin,lisawoods@example.net,775-245-5884,2024-12-28,"982 Kelly Spring, Hamptonmouth, FM 10778"
12,Patrick,Mitchell,mirandadavidson@example.com,(899)661-1253x55449,2026-01-02,"987 Jackson Walk Apt. 234, East Garrettville, CT 08862"
13,Sharon,Kennedy,johnsonrandy@example.org,649-921-6433,2025-06-13,"05577 Dunn Dale, New Carla, SC 98662"
14,Cynthia,Elliott,regina78@example.org,274-456-4240,2024-11-06,"774 Katie Union, Carlatown, OH 49475"
15,Jacob,Khan,kfoster@example.net,001-666-834-1638x9448,2024-07-08,"41797 Graves Overpass, West Andrew, AR 70620"
16,Andrew,Compton,joseph70@example.org,720-973-5647,2025-08-07,"20461 White Ville Suite 601, South Kelsey, NV 32897"
17,Joan,Johnson,gmoss@example.net,+1-537-764-5208x81474,2026-01-02,"  36502 Richards Locks, North Tanya, OR 91039  "
18,Thomas,Carlson,kelli32@example.com,495-900-5281,2024-08-11,"3065 John Canyon Suite 784, Lopezburgh, ND 46070"
19,Mario,Mcdonald,caseymoore@example.com,585-770-8620x959,2025-08-26,"87829 Morris Row Suite 118, North Maryberg, HI 04600"
20,James,Washington,johnsondarlene@example.com,+1-378-999-4053x91037,2025-10-27,"650 Rice Street Apt. 413, North Jessicaside, MS 25333"
21,James,Sandoval,angelagrant@example.net,895-776-1228,2025-07-07,"5855 Duran Meadows Suite 939, South Katie, WA 33804"
22,Michael,Chavez,csmith@example.com,+1-408-324-0433x504,2024-03-13,"45933 Shepherd Course, Carrollborough, VA 10619"
23,Jennifer,Mcguire,tracynolan@example.net,001-719-740-9610,2025-12-27,"39060 Warren Island Apt. 583, North Emily, MO 58908"
24,Karen,Johnston,walkerkeith@example.com,(625)317-9086,2024-12-18,"  78376 Ann Street, East Charles, WI 56870  "
25,Marcus,Glass,rodriguezrobert@example.com,(435)959-0425x979,2024-03-18,"PSC 3352, Box 1103, APO AP 19857"
26,Misty,Wilkins,cooperlinda@example.com,970.453.8338x848,2025-08-05,"9804 Brian Flats, Briantown, CA 51441"
27,Donna,Alvarado,michelle04@example.net,(936)281-5798x1238,2024-03-14,"7620 Sutton Knoll Suite 384, Lake Jonathanfurt, FM 04363"
28,Sherry,Avery,edwardprince@example.net,(416)889-3639,2024-10-12,"  PSC 5782, Box 3298, APO AP 27018  "
29,Michelle,Parker,russellstout@example.org,+1-892-851-8812x5205,2024-10-05,"31220 Obrien Ridge Apt. 933, West Christopherfort, DC 66341"
30,Meghan,Harrison,jack67@example.com,(523)530-6046,2025-09-23,"9757 Ronald Trail, New Jillfurt, VA 41513"
31,Phillip,Crosby,meyershannon@example.org,588.660.8680,2025-01-19,"7264 Hannah Divide Suite 718, East Kimberlyside, DC 52021"
32,Robert,Hayes,shawnmosley@example.org,814.452.1117x518,2024-12-03,"  59222 Kayla Center, Parkermouth, LA 82611  "
33,Henry,Roach,adamcannon@example.org,877.980.9733x977,2024-04-14,"84983 Jack Centers, Benjaminton, TN 76272"
34,Mary,Evans,williamsrobert@example.org,(749)299-8279,2024-04-25,"6168 Kelly Dale Apt. 458, Warrenborough, RI 08127"
35,Daniel,Blair,webbhaley@example.net,969-954-8995x2997,2025-11-01,"  430 Andrew Road, Lake Melaniechester, MT 06463  "
36,Matthew,Castro,alexharris@example.com,214-448-8501x556,2024-07-12,"770 Timothy Road Suite 857, Reillyton, MP 68799"
37,Kevin,Hardy,,+1-455-312-4056x82996,2025-12-15,"504 Miller Wells Apt. 574, New Kevin, DE 49550"
38,Kristen,Strickland,wallaceangel@example.com,923.857.8452x18230,2025-08-20,"40915 Small Cove, Andrewport, SC 28005"
39,Manuel,Lee,amanda71@example.com,524710.9881 x232,2025-04-14,"  493 Charles Ridge, Amberton, DC 04301  "
40,Thomas,Lowe,reyeschristopher@example.com,(399)979-5453,2025-04-29,"74773 Douglas Ridges Suite 562, Kristinamouth, NH 64399"
